instance,method,n_customers,n_drones,runs,feasible_runs,best_energy,mean_energy,std_energy,mean_runtime
large_01,NN,20,4,1,1,4708.145,4708.145,0.000,0.001
large_01,MILP,20,4,1,0,,,,0.000
large_01,B&B,20,4,1,0,,,,0.000
large_01,GA,20,4,3,3,4193.027,4245.159,45.151,0.906
large_01,SA,20,4,3,3,3944.793,3974.110,25.389,0.755
large_02,NN,25,5,1,1,7054.496,7054.496,0.000,0.001
large_02,MILP,25,5,1,0,,,,0.000
large_02,B&B,25,5,1,0,,,,0.000
large_02,GA,25,5,3,3,5047.356,5148.366,117.500,2.606
large_02,SA,25,5,3,3,4634.773,4726.781,114.781,2.410
large_03,NN,30,5,1,1,8183.511,8183.511,0.000,0.002
large_03,MILP,30,5,1,0,,,,0.000
large_03,B&B,30,5,1,0,,,,0.000
large_03,GA,30,5,3,3,7001.076,7072.086,70.141,10.461
large_03,SA,30,5,3,3,6912.986,7086.095,278.806,10.802
medium_01,NN,12,3,1,1,2862.768,2862.768,0.000,0.000
medium_01,MILP,12,3,1,1,1965.733,1965.733,0.000,60.197
medium_01,B&B,12,3,1,0,,,,0.000
medium_01,GA,12,3,3,3,1965.733,2202.579,224.515,0.877
medium_01,SA,12,3,3,3,1965.733,1965.733,0.000,0.801
medium_02,NN,14,3,1,1,3714.182,3714.182,0.000,0.000
medium_02,MILP,14,3,1,1,3241.345,3241.345,0.000,60.254
medium_02,B&B,14,3,1,0,,,,0.000
medium_02,GA,14,3,3,3,3214.620,3235.859,18.583,0.877
medium_02,SA,14,3,3,3,3214.620,3312.916,94.271,0.945
medium_03,NN,15,4,1,1,4610.362,4610.362,0.000,0.000
medium_03,MILP,15,4,1,1,2644.661,2644.661,0.000,60.170
medium_03,B&B,15,4,1,0,,,,0.000
medium_03,GA,15,4,3,3,2732.180,2786.088,59.429,1.884
medium_03,SA,15,4,3,3,2644.661,2663.087,31.915,1.530
small_01,NN,6,2,1,1,1623.985,1623.985,0.000,0.000
small_01,MILP,6,2,1,1,1328.980,1328.980,0.000,1.755
small_01,B&B,6,2,1,1,1328.980,1328.980,0.000,0.003
small_01,GA,6,2,3,3,1328.980,1330.548,2.716,0.190
small_01,SA,6,2,3,3,1328.980,1328.980,0.000,0.184
small_02,NN,7,2,1,1,2129.003,2129.003,0.000,0.000
small_02,MILP,7,2,1,1,1745.307,1745.307,0.000,1.836
small_02,B&B,7,2,1,1,1745.307,1745.307,0.000,0.006
small_02,GA,7,2,3,3,1745.307,1745.307,0.000,0.196
small_02,SA,7,2,3,3,1745.307,1745.307,0.000,0.229
small_03,NN,8,3,1,1,2463.416,2463.416,0.000,0.000
small_03,MILP,8,3,1,1,1930.889,1930.889,0.000,4.478
small_03,B&B,8,3,1,1,1930.889,1930.889,0.000,0.003
small_03,GA,8,3,3,3,1930.889,1971.964,71.144,0.214
small_03,SA,8,3,3,3,1930.889,1930.889,0.000,0.283
small_04,NN,8,3,1,1,1933.128,1933.128,0.000,0.000
small_04,MILP,8,3,1,1,1613.696,1613.696,0.000,4.200
small_04,B&B,8,3,1,1,1613.696,1613.696,0.000,0.005
small_04,GA,8,3,3,3,1613.696,1781.209,145.070,0.525
small_04,SA,8,3,3,3,1613.696,1613.696,0.000,0.601
